Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties;;;
"Ancestors.,""/pubmed/30657840"",""Halberstadt CS."",""JAMA. 2018 Dec 11";"320(22):2382. doi: 10.1001/jama.2018.11167. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30657840"",""pubmed"",""30657840"",""create date:2019/01/19 | first author:Halberstadt CS"",";;
"Nystagmus and Platinum Hair.,""/pubmed/29362773"",""Abalem MF, Rao PK, Rao RC."",""JAMA. 2018 Jan 23";"319(4):399-400. doi: 10.1001/jama.2017.20673. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362773"",""pubmed"",""29362773"",""create date:2018/01/25 | first author:Abalem MF"",";;
"Pharma Art-Abstract Medication in the Work of Beverly Fishman.,""/pubmed/29362772"",""Pitman B."",""JAMA. 2018 Jan 23";"319(4):326-328. doi: 10.1001/jama.2017.18675. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362772"",""pubmed"",""29362772"",""create date:2018/01/25 | first author:Pitman B"",";;
"Orpheus' Descent Into the Neurointensive Care Unit.,""/pubmed/29362771"",""Brigo F."",""JAMA. 2018 Jan 23";"319(4):328. doi: 10.1001/jama.2017.16521. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362771"",""pubmed"",""29362771"",""create date:2018/01/25 | first author:Brigo F"",";;
"Evolution of Continuing Medical Education: Promoting Innovation Through Regulatory Alignment.,""/pubmed/29356818"",""McMahon GT, Skochelak SE."",""JAMA. 2018 Feb 13";"319(6):545-546. doi: 10.1001/jama.2017.19954. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29356818"",""pubmed"",""29356818"",""create date:2018/01/23 | first author:McMahon GT"",";;
"Ascent to the Summit of the CME Pyramid.,""/pubmed/29356817"",""Stevenson R, Moore DE Jr."",""JAMA. 2018 Feb 13";"319(6):543-544. doi: 10.1001/jama.2017.19791. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29356817"",""pubmed"",""29356817"",""create date:2018/01/23 | first author:Stevenson R"",";;
"Physicians Join Frontline Efforts to Curb Gun Injuries, Deaths.,""/pubmed/29351355"",""Kuehn BM."",""JAMA. 2018 Feb 6";"319(5):428-430. doi: 10.1001/jama.2017.18072. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29351355"",""pubmed"",""29351355"",""create date:2018/01/20 | first author:Kuehn BM"",";;
"Retreat From Human Rights and Adverse Consequences for Health.,""/pubmed/29346483"",""Lohman D."",""JAMA. 2018 Mar 6";"319(9):861-862. doi: 10.1001/jama.2018.0271. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29346483"",""pubmed"",""29346483"",""create date:2018/01/19 | first author:Lohman D"",";;
"Ensuring Timely Access to Quality Care for US Veterans.,""/pubmed/29344616"",""Daley J."",""JAMA. 2018 Feb 6";"319(5):439-440. doi: 10.1001/jama.2017.20743. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29344616"",""pubmed"",""29344616"",""create date:2018/01/19 | first author:Daley J"",";;
"Apprehending Otherness Through Wonder: A Facial Plastic Surgeon's Review of the Book and Movie.,""/pubmed/29344614"",""Tollefson TT."",""JAMA. 2018 Feb 20";"319(7):640-642. doi: 10.1001/jama.2017.22109. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29344614"",""pubmed"",""29344614"",""create date:2018/01/19 | first author:Tollefson TT"",";;
"Combination Strategy Associated With Reduced HIV Incidence in Uganda.,""/pubmed/29340692"",""Friedrich MJ."",""JAMA. 2018 Jan 16";"319(3):219. doi: 10.1001/jama.2017.21296. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340692"",""pubmed"",""29340692"",""create date:2018/01/18 | first author:Friedrich MJ"",";;
"Dangers of Substandard or Falsified Medicines.,""/pubmed/29340691"",""Friedrich MJ."",""JAMA. 2018 Jan 16";"319(3):219. doi: 10.1001/jama.2017.21291. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340691"",""pubmed"",""29340691"",""create date:2018/01/18 | first author:Friedrich MJ"",";;
"Possible Biomarkers of Deadly Ebola.,""/pubmed/29340690"",""Friedrich MJ."",""JAMA. 2018 Jan 16";"319(3):219. doi: 10.1001/jama.2017.20420. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340690"",""pubmed"",""29340690"",""create date:2018/01/18 | first author:Friedrich MJ"",";;
"Fitness or Fatness: Which Is More Important?,""/pubmed/29340689"",""Kennedy AB, Lavie CJ, Blair SN."",""JAMA. 2018 Jan 16";"319(3):231-232. doi: 10.1001/jama.2017.21649. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340689"",""pubmed"",""29340689"",""create date:2018/01/18 | first author:Kennedy AB"",";;
"Counting Calories as an Approach to Achieve Weight Control.,""/pubmed/29340688"",""Guth E."",""JAMA. 2018 Jan 16";"319(3):225-226. doi: 10.1001/jama.2017.21355. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340688"",""pubmed"",""29340688"",""create date:2018/01/18 | first author:Guth E"",";;
"Toward Precision Approaches for the Prevention and Treatment of Obesity.,""/pubmed/29340687"",""Yanovski SZ, Yanovski JA."",""JAMA. 2018 Jan 16";"319(3):223-224. doi: 10.1001/jama.2017.20051. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340687 | PMCID:PMC5787370"",""pubmed"",""29340687"",""create date:2018/01/18 | first author:Yanovski SZ"",";;
"Taxes and Sugar-Sweetened Beverages.,""/pubmed/29340686"",""Powell LM, Maciejewski ML."",""JAMA. 2018 Jan 16";"319(3):229-230. doi: 10.1001/jama.2017.19522. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340686"",""pubmed"",""29340686"",""create date:2018/01/18 | first author:Powell LM"",";;
"Can the Government Require Health Warnings on Sugar-Sweetened Beverage Advertisements?,""/pubmed/29340685"",""Pomeranz JL, Mozaffarian D, Micha R."",""JAMA. 2018 Jan 16";"319(3):227-228. doi: 10.1001/jama.2017.19209. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340685"",""pubmed"",""29340685"",""create date:2018/01/18 | first author:Pomeranz JL"",";;
"Evolving Societal Norms of Obesity: What Is the Appropriate Response?,""/pubmed/29340684"",""Burke MA, Heiland FW."",""JAMA. 2018 Jan 16";"319(3):221-222. doi: 10.1001/jama.2017.18947. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340684"",""pubmed"",""29340684"",""create date:2018/01/18 | first author:Burke MA"",";;
"Sleeve Gastrectomy for Weight Loss.,""/pubmed/29340681"",""Puzziferri N, Almandoz JP."",""JAMA. 2018 Jan 16";"319(3):316. doi: 10.1001/jama.2017.18519. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340681"",""pubmed"",""29340681"",""create date:2018/01/18 | first author:Puzziferri N"",";;
"Association of Bariatric Surgery vs Medical Obesity Treatment With Long-term Medical Complications and Obesity-Related Comorbidities.,""/pubmed/29340680"",""Jakobsen GS, Småstuen MC, Sandbu R, Nordstrand N, Hofsø D, Lindberg M, Hertel JK, Hjelmesæth J."",""JAMA. 2018 Jan 16";"319(3):291-301. doi: 10.1001/jama.2017.21055."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340680 | PMCID:PMC5833560"",""pubmed"",""29340680"",""create date:2018/01/18 | first author:Jakobsen GS"",";;
"Effect of Laparoscopic Sleeve Gastrectomy vs Laparoscopic Roux-en-Y Gastric Bypass on Weight Loss in Patients With Morbid Obesity: The SM-BOSS Randomized Clinical Trial.,""/pubmed/29340679"",""Peterli R, Wölnerhanssen BK, Peters T, Vetter D, Kröll D, Borbély Y, Schultes B, Beglinger C, Drewe J, Schiesser M, Nett P, Bueter M."",""JAMA. 2018 Jan 16";"319(3):255-265. doi: 10.1001/jama.2017.20897."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340679 | PMCID:PMC5833546"",""pubmed"",""29340679"",""create date:2018/01/18 | first author:Peterli R"",";;
"Lifestyle Intervention and Medical Management With vs Without Roux-en-Y Gastric Bypass and Control of Hemoglobin A1c, LDL Cholesterol, and Systolic Blood Pressure at 5 Years in the Diabetes Surgery Study.,""/pubmed/29340678"",""Ikramuddin S, Korner J, Lee WJ, Thomas AJ, Connett JE, Bantle JP, Leslie DB, Wang Q, Inabnet WB 3rd, Jeffery RW, Chong K, Chuang LM, Jensen MD, Vella A, Ahmed L, Belani K, Billington CJ."",""JAMA. 2018 Jan 16";"319(3):266-278. doi: 10.1001/jama.2017.20813."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340678 | PMCID:PMC5833547"",""pubmed"",""29340678"",""create date:2018/01/18 | first author:Ikramuddin S"",";;
"Association of Bariatric Surgery Using Laparoscopic Banding, Roux-en-Y Gastric Bypass, or Laparoscopic Sleeve Gastrectomy vs Usual Care Obesity Management With All-Cause Mortality.,""/pubmed/29340677"",""Reges O, Greenland P, Dicker D, Leibowitz M, Hoshen M, Gofer I, Rasmussen-Torvik LJ, Balicer RD."",""JAMA. 2018 Jan 16";"319(3):279-290. doi: 10.1001/jama.2017.20513."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340677 | PMCID:PMC5833565"",""pubmed"",""29340677"",""create date:2018/01/18 | first author:Reges O"",";;
"Effect of Laparoscopic Sleeve Gastrectomy vs Laparoscopic Roux-en-Y Gastric Bypass on Weight Loss at 5 Years Among Patients With Morbid Obesity: The SLEEVEPASS Randomized Clinical Trial.,""/pubmed/29340676"",""Salminen P, Helmiö M, Ovaska J, Juuti A, Leivonen M, Peromaa-Haavisto P, Hurme S, Soinio M, Nuutila P, Victorzon M."",""JAMA. 2018 Jan 16";"319(3):241-254. doi: 10.1001/jama.2017.20313."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340676 | PMCID:PMC5833550"",""pubmed"",""29340676"",""create date:2018/01/18 | first author:Salminen P"",";;
"Interest in the Ketogenic Diet Grows for Weight Loss and Type 2 Diabetes.,""/pubmed/29340675"",""Abbasi J."",""JAMA. 2018 Jan 16";"319(3):215-217. doi: 10.1001/jama.2017.20639. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340675"",""pubmed"",""29340675"",""create date:2018/01/18 | first author:Abbasi J"",";;
"Trends in Carotid Revascularization Procedures-Reply.,""/pubmed/29340674"",""Lichtman JH, Howard G, Brott TG."",""JAMA. 2018 Jan 16";"319(3):308-309. doi: 10.1001/jama.2017.19781. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340674"",""pubmed"",""29340674"",""create date:2018/01/18 | first author:Lichtman JH"",";;
"Risks of Statins for Lower-Risk Individuals-Reply.,""/pubmed/29340673"",""Krumholz HM."",""JAMA. 2018 Jan 16";"319(3):310. doi: 10.1001/jama.2017.19174. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340673"",""pubmed"",""29340673"",""create date:2018/01/18 | first author:Krumholz HM"",";;
"Axillary vs Sentinel Lymph Node Dissection in Women With Invasive Breast Cancer-Reply.,""/pubmed/29340672"",""Ballman KV, McCall LM, Giuliano AE."",""JAMA. 2018 Jan 16";"319(3):306-307. doi: 10.1001/jama.2017.18318. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340672"",""pubmed"",""29340672"",""create date:2018/01/18 | first author:Ballman KV"",";;
"Trends in Carotid Revascularization Procedures.,""/pubmed/29340671"",""Hussain MA, Bhatt DL, Al-Omran M."",""JAMA. 2018 Jan 16";"319(3):307-308. doi: 10.1001/jama.2017.19773. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340671"",""pubmed"",""29340671"",""create date:2018/01/18 | first author:Hussain MA"",";;
"Trends in Carotid Revascularization Procedures.,""/pubmed/29340670"",""Paraskevas KI."",""JAMA. 2018 Jan 16";"319(3):308. doi: 10.1001/jama.2017.19769. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340670"",""pubmed"",""29340670"",""create date:2018/01/18 | first author:Paraskevas KI"",";;
"Risks of Statins for Lower-Risk Individuals.,""/pubmed/29340669"",""Regenold WT."",""JAMA. 2018 Jan 16";"319(3):309-310. doi: 10.1001/jama.2017.19170. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340669"",""pubmed"",""29340669"",""create date:2018/01/18 | first author:Regenold WT"",";;
"Axillary vs Sentinel Lymph Node Dissection in Women With Invasive Breast Cancer.,""/pubmed/29340668"",""Uno H, Hassett MJ, Wei LJ."",""JAMA. 2018 Jan 16";"319(3):306. doi: 10.1001/jama.2017.18312. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340668"",""pubmed"",""29340668"",""create date:2018/01/18 | first author:Uno H"",";;
"Appropriations for City Health Departments.,""/pubmed/29340667"",""[No authors listed]"",""JAMA. 2018 Jan 16";"319(3):312. doi: 10.1001/jama.2017.12204. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340667"",""pubmed"",""29340667"",""create date:2018/01/18"",";;
"Medical Care Use and Expenditures Associated With Adult Obesity in the United States.,""/pubmed/29340665"",""Biener AI, Decker SL";" Agency for Healthcare Research and Quality.."",""JAMA. 2018 Jan 16";"319(3):218. doi: 10.1001/jama.2017.21063. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340665"",""pubmed"",""29340665"",""create date:2018/01/18 | first author:Biener AI"",";
"Long-term Outcomes Following Bariatric Surgery.,""/pubmed/29340664"",""Shubeck S, Dimick JB, Telem DA."",""JAMA. 2018 Jan 16";"319(3):302-303. doi: 10.1001/jama.2017.20521. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340664"",""pubmed"",""29340664"",""create date:2018/01/18 | first author:Shubeck S"",";;
"Monthly Buprenorphine Injection Approved for Opioid Use Disorder.,""/pubmed/29340663"",""Voelker R."",""JAMA. 2018 Jan 16";"319(3):220. doi: 10.1001/jama.2017.20647. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340663"",""pubmed"",""29340663"",""create date:2018/01/18 | first author:Voelker R"",";;
"Regulatory Pathway for 3D Printing.,""/pubmed/29340662"",""Voelker R."",""JAMA. 2018 Jan 16";"319(3):220. doi: 10.1001/jama.2017.20643. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340662"",""pubmed"",""29340662"",""create date:2018/01/18 | first author:Voelker R"",";;
"Second Cancer Biosimilar Approved.,""/pubmed/29340661"",""Voelker R."",""JAMA. 2018 Jan 16";"319(3):220. doi: 10.1001/jama.2017.20642. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340661"",""pubmed"",""29340661"",""create date:2018/01/18 | first author:Voelker R"",";;
"Reimagining Obesity in 2018: A JAMA Theme Issue on Obesity.,""/pubmed/29340660"",""Livingston EH."",""JAMA. 2018 Jan 16";"319(3):238-240. doi: 10.1001/jama.2017.21779. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340660"",""pubmed"",""29340660"",""create date:2018/01/18 | first author:Livingston EH"",";;
"Comparing the Outcomes of Sleeve Gastrectomy and Roux-en-Y Gastric Bypass for Severe Obesity.,""/pubmed/29340659"",""Arterburn D, Gupta A."",""JAMA. 2018 Jan 16";"319(3):235-237. doi: 10.1001/jama.2017.20449. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29340659"",""pubmed"",""29340659"",""create date:2018/01/18 | first author:Arterburn D"",";;
"The Rise and Fall of Mandatory Cardiac Bundled Payments.,""/pubmed/29327034"",""Wadhera RK, Yeh RW, Joynt Maddox KE."",""JAMA. 2018 Jan 23";"319(4):335-336. doi: 10.1001/jama.2017.19205. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29327034 | PMCID:PMC6093855"",""pubmed"",""29327034"",""create date:2018/01/13 | first author:Wadhera RK"",";;
"High Cost of Investigating Measles Cases.,""/pubmed/29318286"",""Rubin R."",""JAMA. 2018 Jan 9";"319(2):114. doi: 10.1001/jama.2017.20423. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29318286"",""pubmed"",""29318286"",""create date:2018/01/11 | first author:Rubin R"",";;
"Nearly 15% of US HIV Infections Undiagnosed in 2015.,""/pubmed/29318285"",""Rubin R."",""JAMA. 2018 Jan 9";"319(2):114. doi: 10.1001/jama.2017.20149. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29318285"",""pubmed"",""29318285"",""create date:2018/01/11 | first author:Rubin R"",";;
"Screening for Adolescent Idiopathic Scoliosis: US Preventive Services Task Force Recommendation Statement.,""/pubmed/29318284"",""US Preventive Services Task Force., Grossman DC, Curry SJ, Owens DK, Barry MJ, Davidson KW, Doubeni CA, Epling JW Jr, Kemper AR, Krist AH, Kurth AE, Landefeld CS, Mangione CM, Phipps MG, Silverstein M, Simon MA, Tseng CW."",""JAMA. 2018 Jan 9";"319(2):165-172. doi: 10.1001/jama.2017.19342."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29318284"",""pubmed"",""29318284"",""create date:2018/01/11 | first author:US Preventive Services Task Force."",";;
"Screening for Adolescent Idiopathic Scoliosis: Evidence Report and Systematic Review for the US Preventive Services Task Force.,""/pubmed/29318283"",""Dunn J, Henrikson NB, Morrison CC, Blasi PR, Nguyen M, Lin JS."",""JAMA. 2018 Jan 9";"319(2):173-187. doi: 10.1001/jama.2017.11669. Review."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29318283"",""pubmed"",""29318283"",""create date:2018/01/11 | first author:Dunn J"",";;
"She Smiled as She Walked Away.,""/pubmed/29318281"",""Gallagher KC."",""JAMA. 2018 Jan 9";"319(2):121-122. doi: 10.1001/jama.2017.19760. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29318281"",""pubmed"",""29318281"",""create date:2018/01/11 | first author:Gallagher KC"",";;
"Screening for Scoliosis in Adolescents.,""/pubmed/29318279"",""Jin J."",""JAMA. 2018 Jan 9";"319(2):202. doi: 10.1001/jama.2017.20372. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29318279"",""pubmed"",""29318279"",""create date:2018/01/11 | first author:Jin J"",";;
"Effect of Idalopirdine as Adjunct to Cholinesterase Inhibitors on Change in Cognition in Patients With Alzheimer Disease: Three Randomized Clinical Trials.,""/pubmed/29318278"",""Atri A, Frölich L, Ballard C, Tariot PN, Molinuevo JL, Boneva N, Windfeld K, Raket LL, Cummings JL."",""JAMA. 2018 Jan 9";"319(2):130-142. doi: 10.1001/jama.2017.20373."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29318278 | PMCID:PMC5833662"",""pubmed"",""29318278"",""create date:2018/01/11 | first author:Atri A"",";;
"Association Between Handover of Anesthesia Care and Adverse Postoperative Outcomes Among Patients Undergoing Major Surgery.,""/pubmed/29318277"",""Jones PM, Cherry RA, Allen BN, Jenkyn KMB, Shariff SZ, Flier S, Vogt KN, Wijeysundera DN."",""JAMA. 2018 Jan 9";"319(2):143-153. doi: 10.1001/jama.2017.20040."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29318277 | PMCID:PMC5833659"",""pubmed"",""29318277"",""create date:2018/01/11 | first author:Jones PM"",";;
"Association of Screening and Treatment With Breast Cancer Mortality by Molecular Subtype in US Women, 2000-2012.,""/pubmed/29318276"",""Plevritis SK, Munoz D, Kurian AW, Stout NK, Alagoz O, Near AM, Lee SJ, van den Broek JJ, Huang X, Schechter CB, Sprague BL, Song J, de Koning HJ, Trentham-Dietz A, van Ravesteyn NT, Gangnon R, Chandler Y, Li Y, Xu C, Ergun MA, Huang H, Berry DA, et al."",""JAMA. 2018 Jan 9";319(2):154-164. doi: 10.1001/jama.2017.19130. Erratum in: JAMA. 2018 Feb 20;"319(7):724. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29318276 | PMCID:PMC5833658"",""pubmed"",""29318276"",""create date:2018/01/11 | first author:Plevritis SK"",";
"Why Are American Indians Dying Young?,""/pubmed/29318275"",""Abbasi J."",""JAMA. 2018 Jan 9";"319(2):109-111. doi: 10.1001/jama.2017.10122. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29318275"",""pubmed"",""29318275"",""create date:2018/01/11 | first author:Abbasi J"",";;
"Lesinurad/Allopurinol (Duzallo) for Gout-Associated Hyperuricemia.,""/pubmed/29318274"",""[No authors listed]"",""JAMA. 2018 Jan 9";"319(2):188-189. doi: 10.1001/jama.2017.20189. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29318274"",""pubmed"",""29318274"",""create date:2018/01/11"",";;
